Tarih,AKP,CHP,MHP,DEM,İYİ,ZP,YRP,TİP
Oca 2024,34.00123839009288,23.5,10.539318885448917,10.23622291021672,8.53343653250774,2.2693498452012384,2.5885448916408667,1.2065015479876162
Şub 2024,34.12170542635659,24.16899224806201,9.799999999999999,10.272480620155038,7.997286821705425,1.375968992248062,2.5953488372093023,0.33604651162790694
Mar 2024,32.37,35.46,5.86,5.63,4.59,2.57,6.99,0.61
Nis 2024,30.423595505617982,30.831086142322103,9.618913857677901,9.2312734082397,4.07059925093633,2.97996254681648,4.234269662921348,0.9520599250936331
May 2024,30.812523020257824,31.74069981583794,9.8353591160221,9.542173112338858,4.414364640883978,2.657826887661142,4.553959484346225,1.2788213627992635
Haz 2024,31.694117647058825,30.90958605664488,10.252505446623093,9.556644880174291,4.612636165577342,2.3572984749455337,4.420479302832244,0.09520697167755991
Tem 2024,29.635000000000005,32.41435897435898,9.946794871794872,9.600256410256412,5.128205128205129,3.2067948717948727,4.32371794871795,0.8517948717948719
Ağu 2024,29.795740740740744,33.6863888888889,9.75824074074074,7.590092592592592,4.51287037037037,3.0039814814814823,4.5882407407407415,0.8454629629629631
Eyl 2024,29.677635467980295,32.25408866995073,10.18807881773399,9.731231527093598,4.587290640394088,3.487389162561577,3.8552709359605912,1.3894581280788176
Eki 2024,31.105912863070536,31.133195020746882,9.540456431535269,9.850933609958505,5.170435684647302,3.476348547717842,3.678319502074689,1.0320539419087138
Kas 2024,30.687768069896748,31.07005559968228,8.424622716441622,9.074980142970611,5.621445591739475,4.189356632247816,3.7813343923748994,0.9466243050039713
Ara 2024,32.846418857660915,28.717951042611055,8.8350861287398,9.377515865820488,5.818676337262013,3.8941976427923843,3.649773345421577,1.3795104261106075
Oca 2025,30.723027718550107,31.03144989339019,8.847654584221747,8.955223880597014,4.436140724946695,5.218123667377398,3.938059701492538,1.2857142857142856
Şub 2025,30.84541484716157,30.617612809315865,9.158515283842796,8.606550218340612,4.960116448326056,4.931877729257643,4.2046579330422125,1.487190684133916
